I_Code_departament	I_Region	I_Dep	I_Chefleeu	I_Tncc	I_Ncc	I_Nccenr	Wiki_Url	Wiki_Name_Snipet	Wiki_name_departement	W_Pays	W_Region	W_Creation_du_departementt	W_Chef_lieu	W_Sous_pefectures	W_President_du_conseil_departemental	W_Prefet	W_Code_Insee	W_Code_ISO_3166_2	W_Code_Eurostat_NUTS_3	W_Gentile	W_Population	W_Densite	W_Superficie	W_Arrondissements	W_Circonscriptions_legislatives	W_Cantons	W_Intercommunalites	W_Communes	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr
24	75	24	24322	3	DORDOGNE	Dordogne	/wiki/Dordogne_(département)	Dordogne (département)	Dordogne	France	Nouvelle-Aquitaine	4 mars 1790	(Préfecture) Périgueux	Bergerac Nontron Sarlat-la-Canéda	None	Anne-Gaëlle Baudouin-Clerc[1]	24	FR-24	None	Dordognots, Périgordins	416 350 hab. (2014)	46 hab./km2	9 060 km2	4	4	25	20	520	Дордонь	Дордонь	Dordogne	Département Dordogne	Dordogne (departament)	Dordoña (departamento)	Dordonha	Dordogna	Dordogne (departement)	Dordogne	Dordogne	Dordogne	Dordogne (departement)	Dordogne	Дордон (департамент)	Dordogne (megye)	Dordogne (departement)	Dordonja (departma)	Dordogne		https://ru.wikipedia.org/wiki/Дордонь	https://uk.wikipedia.org/wiki/Дордонь	https://en.wikipedia.org/wiki/Dordogne	https://de.wikipedia.org/wiki/Département_Dordogne	https://pl.wikipedia.org/wiki/Dordogne_(departament)	https://es.wikipedia.org/wiki/Dordoña_(departamento)	https://pt.wikipedia.org/wiki/Dordonha	https://it.wikipedia.org/wiki/Dordogna	https://nl.wikipedia.org/wiki/Dordogne_(departement)	https://da.wikipedia.org/wiki/Dordogne	https://no.wikipedia.org/wiki/Dordogne	https://sv.wikipedia.org/wiki/Dordogne	https://cs.wikipedia.org/wiki/Dordogne_(departement)	https://ro.wikipedia.org/wiki/Dordogne	https://bg.wikipedia.org/wiki/Дордон_(департамент)	https://hu.wikipedia.org/wiki/Dordogne_(megye)	https://sk.wikipedia.org/wiki/Dordogne_(departement)	https://sl.wikipedia.org/wiki/Dordonja_(departma)	https://sh.wikipedia.org/wiki/Dordogne	
25	27	25	25056	2	DOUBS	Doubs	/wiki/Doubs_(département)	Doubs (département)	Doubs	France	Bourgogne-Franche-Comté	4 mars 1790	(Préfecture) Besançon	Montbéliard Pontarlier	None	Raphaël Bartolt[1]	25	FR-25	None	Doubistes	534 710 hab. (2014)	102 hab./km2	5 234 km2	3	5	19	13	578	Ду (департамент)	Ду (департамент)	Doubs	Département Doubs	Doubs (departament)	Doubs	Doubs (departamento)	Doubs (dipartimento)	Doubs (departement)	Doubs (departement)	Doubs	Doubs	Doubs (departement)	Doubs	Ду (департамент)	Doubs (megye)	Doubs (departement)	Doubs (departma)	Doubs (departman)		https://ru.wikipedia.org/wiki/Ду_(департамент)	https://uk.wikipedia.org/wiki/Ду_(департамент)	https://en.wikipedia.org/wiki/Doubs	https://de.wikipedia.org/wiki/Département_Doubs	https://pl.wikipedia.org/wiki/Doubs_(departament)	https://es.wikipedia.org/wiki/Doubs	https://pt.wikipedia.org/wiki/Doubs_(departamento)	https://it.wikipedia.org/wiki/Doubs_(dipartimento)	https://nl.wikipedia.org/wiki/Doubs_(departement)	https://da.wikipedia.org/wiki/Doubs_(departement)	https://no.wikipedia.org/wiki/Doubs	https://sv.wikipedia.org/wiki/Doubs	https://cs.wikipedia.org/wiki/Doubs_(departement)	https://ro.wikipedia.org/wiki/Doubs	https://bg.wikipedia.org/wiki/Ду_(департамент)	https://hu.wikipedia.org/wiki/Doubs_(megye)	https://sk.wikipedia.org/wiki/Doubs_(departement)	https://sl.wikipedia.org/wiki/Doubs_(departma)	https://sh.wikipedia.org/wiki/Doubs_(departman)	
26	84	26	26362	3	DROME	Drôme	/wiki/Drôme_(département)	Drôme (département)	Drôme	France	Auvergne-Rhône-Alpes	4 mars 1790	(Préfecture) Valence	Die Nyons	None	Éric Spitz[1]	26	FR-26	None	Drômois	499 159 hab. (2014)	76 hab./km2	6 530 km2	3	4	19	10	367	Дром (департамент)	Дром	Drôme	Département Drôme	Drôme	Drôme	Drôme	Drôme	Drôme (departement)	Drôme	Drôme	Drôme	Drôme	Drôme	Дром (департамент)	Drôme	Drôme (departement)	Drôme (departma)	Drôme (departman)		https://ru.wikipedia.org/wiki/Дром_(департамент)	https://uk.wikipedia.org/wiki/Дром	https://en.wikipedia.org/wiki/Drôme	https://de.wikipedia.org/wiki/Département_Drôme	https://pl.wikipedia.org/wiki/Drôme	https://es.wikipedia.org/wiki/Drôme	https://pt.wikipedia.org/wiki/Drôme	https://it.wikipedia.org/wiki/Drôme	https://nl.wikipedia.org/wiki/Drôme_(departement)	https://da.wikipedia.org/wiki/Drôme	https://no.wikipedia.org/wiki/Drôme	https://sv.wikipedia.org/wiki/Drôme	https://cs.wikipedia.org/wiki/Drôme	https://ro.wikipedia.org/wiki/Drôme	https://bg.wikipedia.org/wiki/Дром_(департамент)	https://hu.wikipedia.org/wiki/Drôme	https://sk.wikipedia.org/wiki/Drôme_(departement)	https://sl.wikipedia.org/wiki/Drôme_(departma)	https://sh.wikipedia.org/wiki/Drôme_(departman)	
27	28	27	27229	5	EURE	Eure	/wiki/Eure_(département)	Eure (département)	Eure	France	Normandie	4 mars 1790	(Préfecture) Évreux	Les Andelys Bernay	None	Thierry Coudert[1]	27	FR-27	None	Eurois	598 347 hab. (2014)	99 hab./km2	6 040 km2	3	5	23	13	602	Эр (департамент)	Ер (департамент)	Eure	Département Eure	Eure	Eure	Eure	Eure	Eure (departement)	Eure	Eure	Eure	Eure (departement)	Eure	Йор (департамент)	Eure (megye)	Eure (departement)	Eure (departma)	Eure (departman)		https://ru.wikipedia.org/wiki/Эр_(департамент)	https://uk.wikipedia.org/wiki/Ер_(департамент)	https://en.wikipedia.org/wiki/Eure	https://de.wikipedia.org/wiki/Département_Eure	https://pl.wikipedia.org/wiki/Eure	https://es.wikipedia.org/wiki/Eure	https://pt.wikipedia.org/wiki/Eure	https://it.wikipedia.org/wiki/Eure	https://nl.wikipedia.org/wiki/Eure_(departement)	https://da.wikipedia.org/wiki/Eure	https://no.wikipedia.org/wiki/Eure	https://sv.wikipedia.org/wiki/Eure	https://cs.wikipedia.org/wiki/Eure_(departement)	https://ro.wikipedia.org/wiki/Eure	https://bg.wikipedia.org/wiki/Йор_(департамент)	https://hu.wikipedia.org/wiki/Eure_(megye)	https://sk.wikipedia.org/wiki/Eure_(departement)	https://sl.wikipedia.org/wiki/Eure_(departma)	https://sh.wikipedia.org/wiki/Eure_(departman)	
21	27	21	21231	3	COTE-D'OR	Côte-d'Or	/wiki/Côte-d'Or	Côte-d'Or	Côte-d'Or	France	Bourgogne-Franche-Comté	4 mars 1790	(Préfecture) Dijon	Beaune Montbard	None	Christiane Barr	21	FR-21	None	Côte-d'Oriens	531 380 hab. (2014)	61 hab./km2	8 763 km2	3	5	23	19	704	Кот-д’Ор	Кот-д'Ор	Côte-d'Or	Département Côte-d’Or	Côte-d’Or	Côte-d'Or	Côte-d'Or	Côte-d'Or	Côte-d'Or	Côte-d'Or	Côte-d'Or	Côte-d’Or	Côte-d'Or	Côte-d'Or	Кот д'Ор	Côte-d’Or	Côte-d’Or	Côte-d'Or	Côte-d'Or		https://ru.wikipedia.org/wiki/Кот-д’Ор	https://uk.wikipedia.org/wiki/Кот-д'Ор	https://en.wikipedia.org/wiki/Côte-d'Or	https://de.wikipedia.org/wiki/Département_Côte-d’Or	https://pl.wikipedia.org/wiki/Côte-d’Or	https://es.wikipedia.org/wiki/Côte-d'Or	https://pt.wikipedia.org/wiki/Côte-d'Or	https://it.wikipedia.org/wiki/Côte-d'Or	https://nl.wikipedia.org/wiki/Côte-d'Or	https://da.wikipedia.org/wiki/Côte-d'Or	https://no.wikipedia.org/wiki/Côte-d'Or	https://sv.wikipedia.org/wiki/Côte-d’Or	https://cs.wikipedia.org/wiki/Côte-d'Or	https://ro.wikipedia.org/wiki/Côte-d'Or	https://bg.wikipedia.org/wiki/Кот_д'Ор	https://hu.wikipedia.org/wiki/Côte-d’Or	https://sk.wikipedia.org/wiki/Côte-d’Or	https://sl.wikipedia.org/wiki/Côte-d'Or	https://sh.wikipedia.org/wiki/Côte-d'Or	
22	53	22	22278	4	COTES-D'ARMOR	Côtes-d'Armor	/wiki/Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	France	Bretagne	4 mars 1790	(Préfecture) Saint-Brieuc	Dinan Guingamp Lannion	None	Yves Le Breton[1]	22	FR-22	None	Costarmoricains	597 397 hab. (2014)	87 hab./km2	6 878 km2	4	5	27	8	356	Кот-д’Армор	Кот-д'Армор	Côtes-d'Armor	Département Côtes-d’Armor	Côtes-d’Armor	Costas de Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Côtes-d'Armor	Кот д'Армор	Côtes-d’Armor	Côtes-d’Armor	Côtes-d'Armor	Côtes-d'Armor		https://ru.wikipedia.org/wiki/Кот-д’Армор	https://uk.wikipedia.org/wiki/Кот-д'Армор	https://en.wikipedia.org/wiki/Côtes-d'Armor	https://de.wikipedia.org/wiki/Département_Côtes-d’Armor	https://pl.wikipedia.org/wiki/Côtes-d’Armor	https://es.wikipedia.org/wiki/Costas_de_Armor	https://pt.wikipedia.org/wiki/Côtes-d'Armor	https://it.wikipedia.org/wiki/Côtes-d'Armor	https://nl.wikipedia.org/wiki/Côtes-d'Armor	https://da.wikipedia.org/wiki/Côtes-d'Armor	https://no.wikipedia.org/wiki/Côtes-d'Armor	https://sv.wikipedia.org/wiki/Côtes-d'Armor	https://cs.wikipedia.org/wiki/Côtes-d'Armor	https://ro.wikipedia.org/wiki/Côtes-d'Armor	https://bg.wikipedia.org/wiki/Кот_д'Армор	https://hu.wikipedia.org/wiki/Côtes-d’Armor	https://sk.wikipedia.org/wiki/Côtes-d’Armor	https://sl.wikipedia.org/wiki/Côtes-d'Armor	https://sh.wikipedia.org/wiki/Côtes-d'Armor	
23	75	23	23096	3	CREUSE	Creuse	/wiki/Creuse_(département)	Creuse (département)	Creuse	France	Nouvelle-Aquitaine	4 mars 1790	(Préfecture) Guér	Aubusson	None	Philippe Chopin[1]	23	FR-23	None	Creusois	120 581 hab. (2014)	22 hab./km2	5 565 km2	2	1	15	7	258	Крёз (департамент)	Крез (департамент)	Creuse	Département Creuse	Creuse (departament)	Creuse (departamento)	Creuse	Creuse	Creuse (departement)	Creuse	Creuse	Creuse	Creuse (departement)	Creuse	Крьоз (департамент)	Creuse (megye)	Creuse (departement)	Creuse (departma)	Creuse (departman)		https://ru.wikipedia.org/wiki/Крёз_(департамент)	https://uk.wikipedia.org/wiki/Крез_(департамент)	https://en.wikipedia.org/wiki/Creuse	https://de.wikipedia.org/wiki/Département_Creuse	https://pl.wikipedia.org/wiki/Creuse_(departament)	https://es.wikipedia.org/wiki/Creuse_(departamento)	https://pt.wikipedia.org/wiki/Creuse	https://it.wikipedia.org/wiki/Creuse	https://nl.wikipedia.org/wiki/Creuse_(departement)	https://da.wikipedia.org/wiki/Creuse	https://no.wikipedia.org/wiki/Creuse	https://sv.wikipedia.org/wiki/Creuse	https://cs.wikipedia.org/wiki/Creuse_(departement)	https://ro.wikipedia.org/wiki/Creuse	https://bg.wikipedia.org/wiki/Крьоз_(департамент)	https://hu.wikipedia.org/wiki/Creuse_(megye)	https://sk.wikipedia.org/wiki/Creuse_(departement)	https://sl.wikipedia.org/wiki/Creuse_(departma)	https://sh.wikipedia.org/wiki/Creuse_(departman)	
28	24	28	28085	1	EURE-ET-LOIR	Eure-et-Loir	/wiki/Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	France	Centre-Val de Loire	4 mars 1790	(Préfecture) Chartres	Châteaudun Dreux Nogent-le-Rotrou	None	Sophie Brocas[1]	28	FR-28	None	Euréliens	433 762 hab. (2014)	74 hab./km2	5 880 km2	4	4	15	10	375	Эр и Луар	Ер і Луар	Eure-et-Loir	Département Eure-et-Loir	Eure-et-Loir	Eure y Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Йор е Лоар	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir		https://ru.wikipedia.org/wiki/Эр_и_Луар	https://uk.wikipedia.org/wiki/Ер_і_Луар	https://en.wikipedia.org/wiki/Eure-et-Loir	https://de.wikipedia.org/wiki/Département_Eure-et-Loir	https://pl.wikipedia.org/wiki/Eure-et-Loir	https://es.wikipedia.org/wiki/Eure_y_Loir	https://pt.wikipedia.org/wiki/Eure-et-Loir	https://it.wikipedia.org/wiki/Eure-et-Loir	https://nl.wikipedia.org/wiki/Eure-et-Loir	https://da.wikipedia.org/wiki/Eure-et-Loir	https://no.wikipedia.org/wiki/Eure-et-Loir	https://sv.wikipedia.org/wiki/Eure-et-Loir	https://cs.wikipedia.org/wiki/Eure-et-Loir	https://ro.wikipedia.org/wiki/Eure-et-Loir	https://bg.wikipedia.org/wiki/Йор_е_Лоар	https://hu.wikipedia.org/wiki/Eure-et-Loir	https://sk.wikipedia.org/wiki/Eure-et-Loir	https://sl.wikipedia.org/wiki/Eure-et-Loir	https://sh.wikipedia.org/wiki/Eure-et-Loir	
29	53	29	29232	2	FINISTERE	Finistère	/wiki/Finistère	Finistère	Finistère	France	Bretagne	4 mars 1790	(Préfecture) Quimper	Brest Châteaulin Morlaix	None	Pascal Lelarge[1]	29	FR-29	None	Finistériens	905 855 hab. (2014)	135 hab./km2	6 733 km2	4	8	27	21	279	Финистер	Фіністер	Finistère	Département Finistère	Finistère	Finisterre (Francia)	Finistère	Finistère	Finistère	Finistère	Finistère	Finistère	Finistère	Finistère	Финистер	Finistère	Finistère	Finistère	Finistère		https://ru.wikipedia.org/wiki/Финистер	https://uk.wikipedia.org/wiki/Фіністер	https://en.wikipedia.org/wiki/Finistère	https://de.wikipedia.org/wiki/Département_Finistère	https://pl.wikipedia.org/wiki/Finistère	https://es.wikipedia.org/wiki/Finisterre_(Francia)	https://pt.wikipedia.org/wiki/Finistère	https://it.wikipedia.org/wiki/Finistère	https://nl.wikipedia.org/wiki/Finistère	https://da.wikipedia.org/wiki/Finistère	https://no.wikipedia.org/wiki/Finistère	https://sv.wikipedia.org/wiki/Finistère	https://cs.wikipedia.org/wiki/Finistère	https://ro.wikipedia.org/wiki/Finistère	https://bg.wikipedia.org/wiki/Финистер	https://hu.wikipedia.org/wiki/Finistère	https://sk.wikipedia.org/wiki/Finistère	https://sl.wikipedia.org/wiki/Finistère	https://sh.wikipedia.org/wiki/Finistère	
2A	94	2A	2A004	3	CORSE-DU-SUD	Corse-du-Sud	/wiki/Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	France	Corse	1er janvier 1976	(Préfecture) Ajaccio	Sartène	None	Bernard Schmeltz[1]	2A	FR-2A	None	Corses	149 234 hab. (2013)	37 hab./km2	4 014 km2	2	2	11	8	124	Южная Корсика	Південна Корсика	Corse-du-Sud	Département Corse-du-Sud	Korsyka Południowa	Córcega del Sur	Córsega do Sul	Corsica del Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Южна Корсика	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	https://ru.wikipedia.org/wiki/Южная_Корсика	https://uk.wikipedia.org/wiki/Південна_Корсика	https://en.wikipedia.org/wiki/Corse-du-Sud	https://de.wikipedia.org/wiki/Département_Corse-du-Sud	https://pl.wikipedia.org/wiki/Korsyka_Południowa	https://es.wikipedia.org/wiki/Córcega_del_Sur	https://pt.wikipedia.org/wiki/Córsega_do_Sul	https://it.wikipedia.org/wiki/Corsica_del_Sud	https://nl.wikipedia.org/wiki/Corse-du-Sud	https://da.wikipedia.org/wiki/Corse-du-Sud	https://no.wikipedia.org/wiki/Corse-du-Sud	https://sv.wikipedia.org/wiki/Corse-du-Sud	https://cs.wikipedia.org/wiki/Corse-du-Sud	https://ro.wikipedia.org/wiki/Corse-du-Sud	https://bg.wikipedia.org/wiki/Южна_Корсика	https://hu.wikipedia.org/wiki/Corse-du-Sud	https://sk.wikipedia.org/wiki/Corse-du-Sud	https://sl.wikipedia.org/wiki/Corse-du-Sud	https://sh.wikipedia.org/wiki/Corse-du-Sud	https://hr.wikipedia.org/wiki/Corse-du-Sud
