I_Code_Arrondissements	I_Region	I_Dep	I_Ar	I_Cheflieu	I_Tncc	I_Artmaj	I_Ncc	I_Armin	I_Nccent	ColResultInSnipet	Wiki_Url	Wiki_Name_Snipet	Wiki_name_arrondissement	Wiki_Coordinates_lat	Wiki_Coordinates_lon	W_Pays	W_Region	W_Departement	W_Chef-lieu	W_Code_arrondissement	W_Population	W_Densite	W_Superficie	W_Cantons	W_Communes	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr
34 1	76	34	1	34032	0		BEZIERS		Béziers	1	/wiki/Arrondissement_de_Béziers	Arrondissement de Béziers	Arrondissement de Béziers	43.34277778	3.21611111	France	Occitanie	Hérault	Béziers	341	312 443 hab. (2014)	105 hab./km2	2 987 km2	19	155	Безье (округ)		Arrondissement of Béziers	Arrondissement Béziers	Okręg Béziers	Distrito de Béziers		Arrondissement di Béziers	Arrondissement Béziers				Arrondissement Béziers	Arondismentul Béziers			Béziers (obvod)				https://ru.wikipedia.org/wiki/Безье_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Béziers	https://de.wikipedia.org/wiki/Arrondissement_Béziers	https://pl.wikipedia.org/wiki/Okręg_Béziers	https://es.wikipedia.org/wiki/Distrito_de_Béziers		https://it.wikipedia.org/wiki/Arrondissement_di_Béziers	https://nl.wikipedia.org/wiki/Arrondissement_Béziers				https://cs.wikipedia.org/wiki/Arrondissement_Béziers	https://ro.wikipedia.org/wiki/Arondismentul_Béziers			https://sk.wikipedia.org/wiki/Béziers_(obvod)			
62 4	32	62	4	62588	0		MONTREUIL		Montreuil	1	/wiki/Arrondissement_de_Montreuil	Arrondissement de Montreuil	Arrondissement de Montreuil	50.4667	1.76667	France	Hauts-de-France	Pas-de-Calais	Montreuil	62 4	112 502 hab. (2011)	85 hab./km2	1 326,95 km2	5 (2015)	164 (2015)	Монтрёй (округ)		Arrondissement of Montreuil	Arrondissement Montreuil	Okręg Montreuil	Distrito de Montreuil		Arrondissement di Montreuil-sur-Mer	Arrondissement Montreuil				Arrondissement Montreuil	Arondismentul Montreuil			Montreuil (obvod)				https://ru.wikipedia.org/wiki/Монтрёй_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Montreuil	https://de.wikipedia.org/wiki/Arrondissement_Montreuil	https://pl.wikipedia.org/wiki/Okręg_Montreuil	https://es.wikipedia.org/wiki/Distrito_de_Montreuil		https://it.wikipedia.org/wiki/Arrondissement_di_Montreuil-sur-Mer	https://nl.wikipedia.org/wiki/Arrondissement_Montreuil				https://cs.wikipedia.org/wiki/Arrondissement_Montreuil	https://ro.wikipedia.org/wiki/Arondismentul_Montreuil			https://sk.wikipedia.org/wiki/Montreuil_(obvod)			
34 3	76	34	3	34172	0		MONTPELLIER		Montpellier	1	/wiki/Arrondissement_de_Montpellier	Arrondissement de Montpellier	Arrondissement de Montpellier	43.610919444444	3.8772305555556	France	Occitanie	Hérault	Montpellier	343	700 241 hab. (2014)	None	None	15	69	Монпелье (округ)		Arrondissement of Montpellier	Arrondissement Montpellier	Okręg Montpellier	Distrito de Montpellier		Arrondissement di Montpellier	Arrondissement Montpellier				Arrondissement Montpellier	Arondismentul Montpellier			Montpellier (obvod)				https://ru.wikipedia.org/wiki/Монпелье_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Montpellier	https://de.wikipedia.org/wiki/Arrondissement_Montpellier	https://pl.wikipedia.org/wiki/Okręg_Montpellier	https://es.wikipedia.org/wiki/Distrito_de_Montpellier		https://it.wikipedia.org/wiki/Arrondissement_di_Montpellier	https://nl.wikipedia.org/wiki/Arrondissement_Montpellier				https://cs.wikipedia.org/wiki/Arrondissement_Montpellier	https://ro.wikipedia.org/wiki/Arondismentul_Montpellier			https://sk.wikipedia.org/wiki/Montpellier_(obvod)			
34 2	76	34	2	34142	0		LODEVE		Lodève	1	/wiki/Arrondissement_de_Lodève	Arrondissement de Lodève	Arrondissement de Lodève	43.73138889	3.31472222	France	Occitanie	Hérault	Lodève	342	89 265 hab. (2010)	49 hab./km2	1 819,58 km2	3	131	Лодев (округ)		Arrondissement of Lodève	Arrondissement Lodève	Okręg Lodève	Distrito de Lodève		Arrondissement di Lodève	Arrondissement Lodève				Arrondissement Lodève	Arondismentul Lodève			Lodève (obvod)				https://ru.wikipedia.org/wiki/Лодев_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Lodève	https://de.wikipedia.org/wiki/Arrondissement_Lodève	https://pl.wikipedia.org/wiki/Okręg_Lodève	https://es.wikipedia.org/wiki/Distrito_de_Lodève		https://it.wikipedia.org/wiki/Arrondissement_di_Lodève	https://nl.wikipedia.org/wiki/Arrondissement_Lodève				https://cs.wikipedia.org/wiki/Arrondissement_Lodève	https://ro.wikipedia.org/wiki/Arondismentul_Lodève			https://sk.wikipedia.org/wiki/Lodève_(obvod)			
59 6	32	59	6	59606	0		VALENCIENNES		Valenciennes	20	/wiki/Arrondissement_de_Valenciennes	Arrondissement de Valenciennes	Arrondissement de Valenciennes	50.35	3.51666667	France	Hauts-de-France	Nord	Valenciennes	None	351 073 hab. (2014)	553 hab./km2	634,80 km2	6 (2015)	82 (2015)	Валансьен (округ)		Arrondissement of Valenciennes	Arrondissement Valenciennes	Okręg Valenciennes	Distrito de Valenciennes		Arrondissement di Valenciennes	Arrondissement Valenciennes				Arrondissement Valenciennes	Arondismentul Valenciennes			Valenciennes (obvod)				https://ru.wikipedia.org/wiki/Валансьен_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Valenciennes	https://de.wikipedia.org/wiki/Arrondissement_Valenciennes	https://pl.wikipedia.org/wiki/Okręg_Valenciennes	https://es.wikipedia.org/wiki/Distrito_de_Valenciennes		https://it.wikipedia.org/wiki/Arrondissement_di_Valenciennes	https://nl.wikipedia.org/wiki/Arrondissement_Valenciennes				https://cs.wikipedia.org/wiki/Arrondissement_Valenciennes	https://ro.wikipedia.org/wiki/Arondismentul_Valenciennes			https://sk.wikipedia.org/wiki/Valenciennes_(obvod)			
91 1	11	91	1	91223	1		ETAMPES		Étampes	1	/wiki/Arrondissement_d'Étampes	Arrondissement d'Étampes	Arrondissement d’Étampes	48.43027778	2.15361111	France	Île-de-France	Essonne	Étampes	91 1	138 688 hab. (2011)	158 hab./km2	876 km2	6	79	Этамп (округ)	Етамп (округ)	Arrondissement of Étampes	Arrondissement Étampes	Okręg Étampes	Distrito de Étampes		Arrondissement di Étampes	Arrondissement Étampes	Étampes (Arrondissement)			Arrondissement Étampes	Arondismentul Étampes			Étampes (obvod)				https://ru.wikipedia.org/wiki/Этамп_(округ)	https://uk.wikipedia.org/wiki/Етамп_(округ)	https://en.wikipedia.org/wiki/Arrondissement_of_Étampes	https://de.wikipedia.org/wiki/Arrondissement_Étampes	https://pl.wikipedia.org/wiki/Okręg_Étampes	https://es.wikipedia.org/wiki/Distrito_de_Étampes		https://it.wikipedia.org/wiki/Arrondissement_di_Étampes	https://nl.wikipedia.org/wiki/Arrondissement_Étampes	https://da.wikipedia.org/wiki/Étampes_(Arrondissement)			https://cs.wikipedia.org/wiki/Arrondissement_Étampes	https://ro.wikipedia.org/wiki/Arondismentul_Étampes			https://sk.wikipedia.org/wiki/Étampes_(obvod)			
59 4	32	59	4	59183	0		DUNKERQUE		Dunkerque	20	/wiki/Arrondissement_de_Dunkerque	Arrondissement de Dunkerque	Arrondissement de Dunkerque	51.03333333	2.36666667	France	Hauts-de-France	Nord	Dunkerque	None	378 499 hab. (2014)	262 hab./km2	1 443 km2	7 (2016)	111 (2016)	Дюнкерк (округ)		Arrondissement of Dunkirk	Arrondissement Dunkerque	Okręg Dunkierka	Distrito de Dunkerque		Arrondissement di Dunkerque	Arrondissement Duinkerke				Arrondissement Dunkerque	Arondismentul Dunkerque			Dunkerque (obvod)				https://ru.wikipedia.org/wiki/Дюнкерк_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Dunkirk	https://de.wikipedia.org/wiki/Arrondissement_Dunkerque	https://pl.wikipedia.org/wiki/Okręg_Dunkierka	https://es.wikipedia.org/wiki/Distrito_de_Dunkerque		https://it.wikipedia.org/wiki/Arrondissement_di_Dunkerque	https://nl.wikipedia.org/wiki/Arrondissement_Duinkerke				https://cs.wikipedia.org/wiki/Arrondissement_Dunkerque	https://ro.wikipedia.org/wiki/Arondismentul_Dunkerque			https://sk.wikipedia.org/wiki/Dunkerque_(obvod)			
59 3	32	59	3	59178	0		DOUAI		Douai	20	/wiki/Arrondissement_de_Douai	Arrondissement de Douai	Arrondissement de Douai	50.36666667	3.08333333	France	Hauts-de-France	Nord	Douai	None	246 595 hab. (2014)	517 hab./km2	476,81 km2	4	64	Дуэ (округ)		Arrondissement of Douai	Arrondissement Douai	Okręg Douai	Distrito de Douai		Arrondissement di Douai	Arrondissement Douai				Arrondissement Douai	Arondismentul Douai			Douai (obvod)				https://ru.wikipedia.org/wiki/Дуэ_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Douai	https://de.wikipedia.org/wiki/Arrondissement_Douai	https://pl.wikipedia.org/wiki/Okręg_Douai	https://es.wikipedia.org/wiki/Distrito_de_Douai		https://it.wikipedia.org/wiki/Arrondissement_di_Douai	https://nl.wikipedia.org/wiki/Arrondissement_Douai				https://cs.wikipedia.org/wiki/Arrondissement_Douai	https://ro.wikipedia.org/wiki/Arondismentul_Douai			https://sk.wikipedia.org/wiki/Douai_(obvod)			
63 5	84	63	5	63430	0		THIERS		Thiers	1	/wiki/Arrondissement_de_Thiers	Arrondissement de Thiers	Arrondissement de Thiers	45.8575	3.54222222	France	Auvergne-Rhône-Alpes	Puy-de-Dôme	Thiers	63 5	57 956 hab.[1] (2014)	67 hab./km2	866 km2	6 (avant redécoupage)	44 (2017)	Тьер (округ)		Arrondissement of Thiers	Arrondissement Thiers	Okręg Thiers	Distrito de Thiers		Arrondissement di Thiers	Arrondissement Thiers				Arrondissement Thiers	Arondismentul Thiers			Thiers (obvod)				https://ru.wikipedia.org/wiki/Тьер_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Thiers	https://de.wikipedia.org/wiki/Arrondissement_Thiers	https://pl.wikipedia.org/wiki/Okręg_Thiers	https://es.wikipedia.org/wiki/Distrito_de_Thiers		https://it.wikipedia.org/wiki/Arrondissement_di_Thiers	https://nl.wikipedia.org/wiki/Arrondissement_Thiers				https://cs.wikipedia.org/wiki/Arrondissement_Thiers	https://ro.wikipedia.org/wiki/Arondismentul_Thiers			https://sk.wikipedia.org/wiki/Thiers_(obvod)			
89 1	27	89	1	89024	1		AUXERRE		Auxerre	1	/wiki/Arrondissement_d'Auxerre	Arrondissement d'Auxerre	Arrondissement d'Auxerre	47.7986	3.56722	France	Bourgogne-Franche-Comté	Yonne	Auxerre	89 1	181 338 hab. (2011)	52 hab./km2	3 515 km2	22	197	Осер (округ)		Arrondissement of Auxerre	Arrondissement Auxerre	Okręg Auxerre	Distrito de Auxerre		Arrondissement di Auxerre	Arrondissement Auxerre				Arrondissement Auxerre	Arondismentul Auxerre			Auxerre (obvod)				https://ru.wikipedia.org/wiki/Осер_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Auxerre	https://de.wikipedia.org/wiki/Arrondissement_Auxerre	https://pl.wikipedia.org/wiki/Okręg_Auxerre	https://es.wikipedia.org/wiki/Distrito_de_Auxerre		https://it.wikipedia.org/wiki/Arrondissement_di_Auxerre	https://nl.wikipedia.org/wiki/Arrondissement_Auxerre				https://cs.wikipedia.org/wiki/Arrondissement_Auxerre	https://ro.wikipedia.org/wiki/Arondismentul_Auxerre			https://sk.wikipedia.org/wiki/Auxerre_(obvod)			
