OBJECTNUMBER,SOATO,NAMEOBJECT,NAME,NAMEREGION,NAMEDISTR
26117,9000001001,Березинский биосферный,Заповедник,Минская,
26118,9000002001,Беловежская пуща,Национальный парк,Брестская,
26119,9000002002,Браславские озера,Национальный парк,Витебская,Браславский
26120,9000002003,Припятский,Национальный парк,Гомельская,
26122,9000003002,Стронга,Заказник республиканского значения,Брестская,Барановичский
26123,9000003003,Бусловка,Заказник республиканского значения,Брестская,Берёзовский
26124,9000003004,Споровский,Заказник республиканского значения,Брестская,Берёзовский
26126,9000003006,Борский,Заказник республиканского значения,Брестская,Ганцевичский
26127,9000003007,Выгонощанское,Заказник республиканского значения,Брестская,Ганцевичский
26128,9000003008,Еловский,Заказник республиканского значения,Брестская,Ганцевичский
26129,9000003009,Званец,Заказник республиканского значения,Брестская,Дрогичинский
26130,9000003010,Радостовский,Заказник республиканского значения,Брестская,Дрогичинский
26135,9000003011,Лунинский,Заказник республиканского значения,Брестская,Лунинецкий
26139,9000003014,Луково,Заказник республиканского значения,Брестская,Малоритский
26141,9000003016,Простырь,Заказник республиканского значения,Брестская,Пинский
26142,9000003017,Тырвовичи,Заказник республиканского значения,Брестская,Пинский
26144,9000003018,Дикое,Заказник республиканского значения,Брестская,Пружанский
26146,9000003020,Ружанская пуща,Заказник республиканского значения,Брестская,Пружанский
26147,9000003021,Ольманские болота,Заказник республиканского значения,Брестская,Столинский
26148,9000003022,Заболотье,Заказник республиканского значения,Витебская,Браславский
26149,9000003023,Межозерный,Заказник республиканского значения,Витебская,Браславский
26150,9000003024,Ричи,Заказник республиканского значения,Витебская,Браславский
26151,9000003025,Красный Бор,Заказник республиканского значения,Витебская,Россонский
26152,9000003026,Освейский,Заказник республиканского значения,Витебская,Верхнедвинский
26153,9000003027,Запольский,Заказник республиканского значения,Витебская,Витебский
26154,9000003028,Мошно,Заказник республиканского значения,Витебская,Витебский
26155,9000003029,Чистик,Заказник республиканского значения,Витебская,Витебский
26156,9000003030,Белое,Заказник республиканского значения,Витебская,Глубокский
26157,9000003031,Долгое,Заказник республиканского значения,Витебская,Глубокский
26158,9000003032,Сервечь,Заказник республиканского значения,Витебская,Докшицкий
26159,9000003033,Корытенский Мох,Заказник республиканского значения,Витебская,Городокский
26160,9000003034,Верхневилейский,Заказник республиканского значения,Витебская,Докшицкий
26161,9000003035,Бабиновичский,Заказник республиканского значения,Витебская,Лиозненский
26162,9000003036,Болото Мох,Заказник республиканского значения,Витебская,Миорский
26163,9000003037,Ельня,Заказник республиканского значения,Витебская,Миорский
26166,9000003040,Лонно,Заказник республиканского значения,Витебская,Полоцкий
26167,9000003041,Козьянский,Заказник республиканского значения,Витебская,Полоцкий
26168,9000003042,Швакшты,Заказник республиканского значения,Витебская,Поставский
26169,9000003043,Синьша,Заказник республиканского значения,Витебская,Россонский
26171,9000003045,Кривое,Заказник республиканского значения,Витебская,Ушачский
26172,9000003046,Селява,Заказник республиканского значения,Минская,Крупский
