"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"71679,00000000000",Автомобилист,Витебская обл.,Полоцкий р-н,г. Полоцк,"55,45619417540","28,69935761970"
"71661,00000000000",Автомобилист,Витебская обл.,Полоцкий р-н,д. Секеровщина,"55,52388310430","28,87611434480"
"71635,00000000000","""Автомобилист"" д.Куликово",Витебская обл.,Полоцкий р-н,д. Куликово,"55,59374823890","28,42488566530"
"71681,00000000000",Астра,Витебская обл.,Полоцкий р-н,д. Кулаково,"55,45561522070","28,88291025440"
"71705,00000000000",Бездедовичи-1,Витебская обл.,Полоцкий р-н,д. Жевново,"55,47896140360","28,43038480520"
"71674,00000000000","""Береза"" при Полоцком винзаводе",Витебская обл.,Полоцкий р-н,д. Казимирово,"55,45027498910","28,89714223190"
"71648,00000000000",Бецкое,Витебская обл.,Полоцкий р-н,д. Жарцы,"55,62615924990","28,84773773290"
"82909,00000000000","""Буревестник"" при ПМК-18",Витебская обл.,Полоцкий р-н,д. Рудня,"55,61330632190","28,75343862360"
"71695,00000000000","""Вега"" при станции скорой помощи",Витебская обл.,Полоцкий р-н,д. Заскорки,"55,37695156560","28,63984518040"
"71645,00000000000",Весна,Витебская обл.,Полоцкий р-н,д. Булавки,"55,58075478120","28,77334728760"
"72624,00000000000","""Весна"" при Новополоцком тресте столовых и рестор*",Витебская обл.,Полоцкий р-н,д. Козьи Горки,"55,60719399180","28,78461508920"
"71667,00000000000","""Веснянка"" дер.Бецкое",Витебская обл.,Полоцкий р-н,д. Бецкое,"55,40921274830","28,76610224400"
"82888,00000000000","""Ветринское""",Витебская обл.,Полоцкий р-н,гп Ветрино,"55,41514974410","28,43569658590"
"71624,00000000000",Виктория,Витебская обл.,Полоцкий р-н,д. Махирово,"55,57251638110","28,54068716730"
"71629,00000000000",Гидротехник,Витебская обл.,Полоцкий р-н,д. Гендики,"55,55999950270","28,78743609900"
"71619,00000000000","""Двина"" инвалидов г.Новополоцка",Витебская обл.,Полоцкий р-н,д. Охотница,"55,55875713800","28,61038697410"
"71701,00000000000","""Дорожник д.Фариново""",Витебская обл.,Полоцкий р-н,д. Фариново,"55,42903786540","28,57520470220"
"71693,00000000000","""Жихари"" при Полоцком отделе статистики",Витебская обл.,Полоцкий р-н,д. Гирсино,"55,58322844360","28,91902747580"
"71634,00000000000","""Завелье"" при в/ч 06707",Витебская обл.,Полоцкий р-н,гп Боровуха,"55,59384481770","28,62907949680"
"71666,00000000000",Звезда,Витебская обл.,Полоцкий р-н,д. Пирутино,"55,44171539420","28,94176388450"
"71711,00000000000","""Здоровый быт"" при узловой больнице",Витебская обл.,Полоцкий р-н,д. Навлица,"55,36675888240","28,50636399230"
"71678,00000000000",Здоровье,Витебская обл.,Полоцкий р-н,д. Черноручье-2,"55,43280407080","28,74678047260"
"71620,00000000000","""Изолировщик"" при СУ ""Белтеплоизоляция""",Витебская обл.,Полоцкий р-н,д. Горовые,"55,57017878220","28,56279792230"
"82892,00000000000",Купалинка,Витебская обл.,Полоцкий р-н,д. Шелково,"55,44651014510","28,88262877510"
"82902,00000000000","""Лесное"" при ПТУ - 66",Витебская обл.,Полоцкий р-н,д. Лесины,"55,41613644080","28,68247143490"
"71702,00000000000",Лето,Витебская обл.,Полоцкий р-н,д. Меруги,"55,42853682720","28,69833044990"
"71663,00000000000","""Локомотив"" локомотивного депо станции Полоцк",Витебская обл.,Полоцкий р-н,д. Скабы,"55,52683648830","28,88049009860"
"82911,00000000000","""Малинка"" при Полоцком ПОБОНЕ",Витебская обл.,Полоцкий р-н,д. Дмитровщина,"55,61318222750","28,79189969210"
"71653,00000000000","""Нефтяник-5""",Витебская обл.,Полоцкий р-н,д. Яковцы,"55,71957685630","28,82635455190"
"71637,00000000000","""Подозерцы""",Витебская обл.,Полоцкий р-н,д. Подозерцы,"55,63854495270","28,43260137260"
"82890,00000000000",Прогресс,Витебская обл.,Полоцкий р-н,д. Семенец,"55,39469908780","28,81385598850"
"71691,00000000000","""Ромашка"" Полоцкого района",Витебская обл.,Полоцкий р-н,д. Залесье,"55,59691726590","28,92263832240"
"71618,00000000000","""Светильник"" предприятия ""Горсвет""",Витебская обл.,Полоцкий р-н,д. Кательна,"55,68144245960","28,62649302980"
"71697,00000000000","""Химик-5"" ПО ""Полимир""",Витебская обл.,Полоцкий р-н,д. Косари,"55,35379408020","28,62515584020"
"71636,00000000000","""Химик-6""",Витебская обл.,Полоцкий р-н,д. Новинье,"55,61260665710","28,47077548070"
"71601,00000000000",Черное озеро,Витебская обл.,Полоцкий р-н,д. Владычино,"55,64320412380","28,58481383520"
"71708,00000000000","""Яблонька""",Витебская обл.,Полоцкий р-н,д. Зазерье,"55,40108686900","28,42409950770"
