X,Y,OBJECTNUMB,NAMEOBJECT,NAME
29.6078083268863,55.2958993493731,9112,Øóìèëèíî,Ïîñåëîê ãîðîäñêîãî òèïà - ãîðîäñêîé ïîñåëîê-ÀÒÅ
28.7046534205655,52.909602990251,27606,Äóáåíåö-Çàðå÷íûé,Ñåëüñêèé íàñåëåííûé ïóíêò - õóòîð
30.2895423429226,54.4752409110523,6536,Áàðàíü,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.0361531260746,55.6199210421696,6131,Òóðêîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.5430179713325,55.5679848590455,27608,×åïóêè,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.7156091434488,55.6270589459887,6275,×åðåññû,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
30.820177810921,52.60079642884,9650,Óçà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
30.8194439459618,52.6369845121869,9568,Êîììóíàð,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
29.990782660738,55.4622046106565,4502,Ãîðîäîê,Ãîðîä ðàéîííîãî ïîä÷èíåíèÿ-ÀÒÅ
26.6512275385627,53.0111112941694,18771,ßíîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
26.8701162682729,52.8730962989883,18825,Ìîðî÷ü,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
24.0098116651308,53.6178751496994,13333,Àëåêñàíäðîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2305267684296,53.9900656448822,20065,Äè÷êè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.5269327495788,54.1338052132401,20206,Ìàöêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.6179720093829,54.2007731288121,17423,Áîëüøàÿ Óõîëîäà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.7615524234017,54.2730915904383,17410,Ëîøíèöà,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.8099537061777,53.7869521089184,19969,Åôèìîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.704539670143,53.6893003216511,19988,Äóáîâûé Ëåñ,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.7203977512923,53.7842559645294,20007,Ìàöåâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.8429197334775,53.9504469856419,19911,Ñòàðèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.5548016851093,53.8025025492511,20153,Ùèòîìèðè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2725600205335,53.8776465623973,20162,Êîçëîâêà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.4673639040216,53.8169488364737,20188,Ïðèëóêñêàÿ Ñëîáîäà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
