OBJECTNUMBER,NAMEOBJECT,NAMEOBJECTBELRUS,NAME,NAMEREGION,NAMEDISTR,NAMESELSOVET
68114,"""Грабовец""",-,Садоводческое товарищество,Брестская,Барановичский,Великолукский
68115,"""Пралеска"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Великолукский
68113,"""Родничок"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Великолукский
68125,"""Авиатор"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68144,"""Башня""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68123,"""Березка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68150,"""Буравик"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68141,"""ВЕРАСОК""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68146,"""Геолог""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68131,"""Досуг труду"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68120,"""Дружба"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68133,"""Журавинка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68130,"""Здоровье"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68154,"""Ивушка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68132,"""Коммунар"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68118,"""Кооператор"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68129,"""Крыница"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68137,"""Лада"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68143,"""Лесная поляна"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68149,"""Лира""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68142,"""Магистраль"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68153,"""Медик""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68139,"""Мечта""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
84776,"""Милый уголок""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68124,"""Мичуринец""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68116,"""Монолит"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68140,"""Мостостроитель"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68126,"""Настауник"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68134,"""Незабудка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68117,"""Нива"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
84777,"""Полянка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68145,"""Прогресс"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68127,"""Проталинка"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68152,"""Радуга"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68119,"""Родник"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68136,"""Сантехник"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68147,"""Светафор"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68148,"""Сигнал""",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
68151,"""Станкостроитель"" Барановичского района",-,Садоводческое товарищество,Брестская,Барановичский,Жемчужненский
