id,region_id,lat,lng,title,geotype_id
303000026,15,48.149478,37.736261,Авдіївка,1
303000116,17,48.673831,33.104590,Олександрія,1
303000248,23,48.576610,39.205281,Олександрівськ,2
303000327,23,48.521036,38.579942,Алмазна,2
303000332,8,44.417474,34.042871,Алупка,2
303000333,8,44.667476,34.402086,Алушта,1
303000334,23,48.478698,38.796562,Алчевськ,1
303000340,15,47.793645,38.485533,Амвросіївка,2
303000345,11,47.722181,29.993802,Ананьїв,2
303000464,5,50.028225,29.025248,Андрушівка,2
303000604,23,48.128315,39.105013,Антрацит,1
303000612,12,47.660099,33.716082,Апостолове,2
303000633,8,46.111440,33.693960,Армянськ,1
303000665,15,48.363725,37.897339,Залізне,2
303000666,15,48.603085,37.992153,Бахмут,1
303000667,23,48.437709,38.719230,Кипуче,2
303000683,11,45.982125,29.429683,Арциз,2
303000706,16,50.313672,34.903856,Охтирка,1
303000864,1,49.464663,36.853453,Балаклія,2
303000903,11,47.937813,29.624856,Балта,2
303000929,4,49.077122,27.681284,Бар,2
303000942,5,50.292325,27.682428,Баранівка,2
303000965,1,48.906433,37.024737,Барвінкове,2
303001019,13,51.334496,32.873464,Батурин,2
303001033,13,51.173196,32.824817,Бахмач,2
303001044,8,44.754638,33.867256,Бахчисарай,2
303001060,19,47.405124,32.444260,Баштанка,2
303001150,3,49.803824,30.115207,Біла Церква,1
303001152,11,46.188896,30.325535,Білгород-Дністровський,1
303001170,21,50.382000,24.005248,Белз,2
303001186,15,48.405229,37.185428,Білицьке,2
303001235,8,45.052843,34.600676,Білогірськ,2
303001251,15,48.534750,37.055643,Білозерське,2
303001274,16,51.146120,34.298362,Білопілля,2
303001330,11,46.471740,30.211237,Біляївка,2
303001351,5,49.896720,28.600259,Бердичів,1
303001357,9,46.718528,36.772329,Бердянськ,1
303001369,6,48.210133,22.636239,Берегове,1
303001393,14,49.444987,24.939492,Бережани,2
303001423,3,50.312116,31.475715,Березань,1
303001465,20,51.006319,26.750045,Березне,2
303001488,11,47.200666,30.917839,Березівка,2
303001554,22,50.362411,25.111921,Берестечко,2
303001589,10,46.841011,33.426937,Берислав,2
303001605,4,48.373212,29.532736,Бершадь,2
303001773,17,48.055641,32.163932,Бобринець,2
303001782,21,49.638718,24.285991,Бібрка,2
303001784,13,50.745028,31.387293,Бобровиця,2
303001898,1,50.162377,35.529281,Богодухів,2
303001914,3,49.545620,30.875992,Богуслав,2
303001967,11,45.681360,28.614456,Болград,2
303001971,24,49.066995,23.851130,Болехів,1
303002060,13,51.250863,32.429978,Борзна,2
303002066,21,49.288681,23.423854,Борислав,1
303002080,3,50.356928,30.951986,Бориспіль,1
303002168,14,48.801159,26.044829,Борщів,2
